Function,Category,Subcategory_ID,Subcategory_Description,SP800_53_Controls,Relationship_to_CSF
IDENTIFY-P (ID-P): Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,"Inventory and Mapping (ID.IM-P): Data processing by systems, products, or services is understood and informs the management of privacy risk.",ID.IM-P1,Systems/products/services that process data are inventoried.,"CM-8, CM-12, CM-13, PM-5",
IDENTIFY-P (ID-P): Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,"Inventory and Mapping (ID.IM-P): Data processing by systems, products, or services is understood and informs the management of privacy risk.",ID.IM-P2,"Owners or operators (e.g., the organization or third parties such as service providers, partners, customers, and developers) and their roles with respect to the systems/products/services and components (e.g., internal or external) that process data are inventoried.","CM-8(4), CM-13",
IDENTIFY-P (ID-P): Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,"Inventory and Mapping (ID.IM-P): Data processing by systems, products, or services is understood and informs the management of privacy risk.",ID.IM-P3,"Categories of individuals (e.g., customers, employees or prospective employees, consumers) whose data are being processed are inventoried.",CM-13,
IDENTIFY-P (ID-P): Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,"Inventory and Mapping (ID.IM-P): Data processing by systems, products, or services is understood and informs the management of privacy risk.",ID.IM-P4,Data actions of the systems/products/services are inventoried.,CM-13,
IDENTIFY-P (ID-P): Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,"Inventory and Mapping (ID.IM-P): Data processing by systems, products, or services is understood and informs the management of privacy risk.",ID.IM-P5,The purposes for the data actions are inventoried.,"CM-13, PT-1, PT-2, PT-3 ",
IDENTIFY-P (ID-P): Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,"Inventory and Mapping (ID.IM-P): Data processing by systems, products, or services is understood and informs the management of privacy risk.",ID.IM-P6,Data elements within the data actions are inventoried.,"CM-13, PM-5(1), PT-7",
IDENTIFY-P (ID-P): Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,"Inventory and Mapping (ID.IM-P): Data processing by systems, products, or services is understood and informs the management of privacy risk.",ID.IM-P7,"The data processing environment is identified (e.g., geographic location, internal, cloud, third parties).","CM-8, CM-12, CM-13",
IDENTIFY-P (ID-P): Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,"Inventory and Mapping (ID.IM-P): Data processing by systems, products, or services is understood and informs the management of privacy risk.",ID.IM-P8,"Data processing is mapped, illustrating the data actions and associated data elements for systems/products/services, including components; roles of the component owners/operators; and interactions of individuals or third parties with the systems/products/services.",CM-13,
IDENTIFY-P (ID-P): Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,"Business Environment (ID.BE-P): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform privacy roles, responsibilities, and risk management decisions.",ID.BE-P1,The organization’s role(s) in the data processing ecosystem are identified and communicated.,"SR-1, SR-3","Aligned - The Privacy Framework Subcategory aligns with the Cybersecurity Framework Subcategory, but the text has been adapted for the Privacy Framework."
IDENTIFY-P (ID-P): Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,"Business Environment (ID.BE-P): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform privacy roles, responsibilities, and risk management decisions.",ID.BE-P2,"Priorities for organizational mission, objectives, and activities are established and communicated.",PM-11,Identical - The Privacy Framework Subcategory is identical to the Cybersecurity Framework Subcategory.
IDENTIFY-P (ID-P): Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,"Business Environment (ID.BE-P): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform privacy roles, responsibilities, and risk management decisions.",ID.BE-P3,Systems/products/services that support organizational priorities are identified and key requirements communicated.,RA-9,
IDENTIFY-P (ID-P): Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,"Risk Assessment (ID.RA-P): The organization understands the privacy risks to individuals and how such privacy risks may create follow-on impacts on organizational operations, including mission, functions, other risk management priorities (e.g., compliance, financial), reputation, workforce, and culture.",ID.RA-P1,"Contextual factors related to the systems/products/services and the data actions are identified (e.g., individuals’ demographics and privacy interests or perceptions, data sensitivity and/or types, visibility of data processing to individuals and third parties). ","CM-13, PM-5(1), PT-7, RA-3, RA-8",
IDENTIFY-P (ID-P): Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,"Risk Assessment (ID.RA-P): The organization understands the privacy risks to individuals and how such privacy risks may create follow-on impacts on organizational operations, including mission, functions, other risk management priorities (e.g., compliance, financial), reputation, workforce, and culture.",ID.RA-P2,Data analytic inputs and outputs are identified and evaluated for bias.,,
IDENTIFY-P (ID-P): Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,"Risk Assessment (ID.RA-P): The organization understands the privacy risks to individuals and how such privacy risks may create follow-on impacts on organizational operations, including mission, functions, other risk management priorities (e.g., compliance, financial), reputation, workforce, and culture.",ID.RA-P3,Potential problematic data actions and associated problems are identified. ,"CM-13, RA-3, RA-8",
IDENTIFY-P (ID-P): Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,"Risk Assessment (ID.RA-P): The organization understands the privacy risks to individuals and how such privacy risks may create follow-on impacts on organizational operations, including mission, functions, other risk management priorities (e.g., compliance, financial), reputation, workforce, and culture.",ID.RA-P4,"Problematic data actions, likelihoods, and impacts are used to determine and prioritize risk.","PM-28, RA-2, RA-3, RA-8","Aligned - The Privacy Framework Subcategory aligns with the Cybersecurity Framework Subcategory, but the text has been adapted for the Privacy Framework."
IDENTIFY-P (ID-P): Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,"Risk Assessment (ID.RA-P): The organization understands the privacy risks to individuals and how such privacy risks may create follow-on impacts on organizational operations, including mission, functions, other risk management priorities (e.g., compliance, financial), reputation, workforce, and culture.",ID.RA-P5,"Risk responses are identified, prioritized, and implemented.","CA-5, PM-4, PM-9, PM-28, RA-7, RA-8","Aligned - The Privacy Framework Subcategory aligns with the Cybersecurity Framework Subcategory, but the text has been adapted for the Privacy Framework."
IDENTIFY-P (ID-P): Develop the organizational understanding to manage privacy risk for individuals arising from data processing.,"Data Processing Ecosystem Risk Management (ID.DE-P): The organization’s priorities, constraints, risk tolerance, and assumptions are established and used to support risk decisions associated with managing privacy risk and third parties within the data processing ecosystem. The organization has established and implemented the processes to identify, assess, and manage privacy risks within the data processing ecosystem.",ID.DE-P1,"Data processing ecosystem risk management policies, processes, and procedures are identified, established, assessed, managed, and agreed to by organizational stakeholders.","PM-30, SA-9, SR-1, SR-2, SR-3, SR-4, SR-5","Aligned - The Privacy Framework Subcategory aligns with the Cybersecurity Framework Subcategory, but the text has been adapted for the Privacy Framework."
